ID,Address,USDT Amount,wBTC Amount,claimedAt,claimReqId,claimReqStatus,airdropId
1753,0x1F80C96733B740FfE1B65f0D6B8e200DEE3f66Fc,65.0065,0.00212115,2023-06-25T22:51:57.650Z,3f6b20a3-6312-4832-b6b1-622babf0ad19,pending,3
1754,0x1F80C96733B740FfE1B65f0D6B8e200DEE3f66Fc,0.05000499999999999,0.0017284,2023-06-25T22:52:34.494Z,b6729aae-8a97-462d-b387-d0e9b8c39fa6,pending,4
1755,0x1F80C96733B740FfE1B65f0D6B8e200DEE3f66Fc,25.0025,0.000897,2023-06-25T22:53:04.209Z,2b65ea62-da50-4643-a4c0-a0484ac732d3,pending,5
1756,0x1F80C96733B740FfE1B65f0D6B8e200DEE3f66Fc,25.0025,0.001864,2023-06-25T22:53:36.598Z,50183723-5fc9-49ee-a41b-b53308f8c460,pending,6
1757,0x9a493D269D4Dd2000646d6d49eD2a488fDD69e22,0.010001,0.00034568,2023-06-26T00:10:32.051Z,2ad96396-f2a2-41df-8964-a14b29ab14a1,pending,4
1758,0x9a493D269D4Dd2000646d6d49eD2a488fDD69e22,5.0005,0.0001794,2023-06-26T00:11:10.088Z,a698da80-153c-4f67-8cb9-772793f2e61c,pending,5
1759,0x9a493D269D4Dd2000646d6d49eD2a488fDD69e22,5.0005,0.0003728,2023-06-26T00:11:40.288Z,583a9e7d-1d9b-4178-b2df-934b9ab4ada2,pending,6
1760,0x7f77FfA3Bc167f6707144b680759AFDa6e2De083,70.00731499999999,0.00304598,2023-06-26T01:31:54.421Z,96fc785a-f393-44bb-a588-69474d5d7f17,pending,2
1761,0x2e85ea08ADEd3EE0D9074779A17456d8377445A3,25.0025,0.001864,2023-06-26T02:26:00.594Z,eed47c10-1622-4f7b-b53b-c1e2f5de95e1,pending,6
1762,0x2e85ea08ADEd3EE0D9074779A17456d8377445A3,25.0025,0.000897,2023-06-26T02:26:23.227Z,6903fea9-a5be-4d0e-bba5-27d8573c5425,pending,5
1763,0x6bD99B033AEF2e927385F4A6Df206Aff979e75d8,25.0025,0.001864,2023-06-26T04:03:22.251Z,a1c789b9-efc2-4e0a-b3dc-6aeaf0c4994b,pending,6
1764,0x6bD99B033AEF2e927385F4A6Df206Aff979e75d8,25.0025,0.000897,2023-06-26T04:03:48.668Z,e3185770-9c24-4dac-817b-b47cc0cb0a33,pending,5
1765,0xAa55a818cE6D83DA30f1296D41074Dc1AbD9C4f0,20.002,0.0007176,2023-06-26T06:11:41.078Z,708ad197-1009-4966-aa07-632d22fee553,pending,5
1766,0xAa55a818cE6D83DA30f1296D41074Dc1AbD9C4f0,20.002,0.0014912,2023-06-26T06:12:01.541Z,e3d59c74-fd71-4a41-b38f-1f7e3c696e3e,pending,6
1767,0x4743409d5427F85793B6697014465BC311062c2C,0.030003,0.00103704,2023-06-26T08:17:38.198Z,b905beaa-88f0-4a7b-bcb7-265d59bb3a92,pending,4
1768,0x4743409d5427F85793B6697014465BC311062c2C,15.0015,0.0005382,2023-06-26T08:18:12.981Z,4219ab46-c90a-48a2-aa88-f6e696e82e77,pending,5
1769,0x4743409d5427F85793B6697014465BC311062c2C,15.0015,0.0011184,2023-06-26T08:18:31.853Z,e8937943-32f6-464e-ba4a-85972bbd6d7c,pending,6
1774,0xB6BF3D746Be125F7A14733F879d476a06029ed23,5.0005,0.0001794,2023-06-26T14:58:13.381Z,b8cbb872-d82a-4686-9ef7-c08d9a1cf4a9,pending,5
1775,0x73A72Ea7f4B90e2465Bc3D2B2c1989f5df321c66,10.001045,0.00043514,2023-06-26T15:35:13.861Z,48c2d2f8-b261-4091-b199-7ebf46fcf414,pending,2
1776,0x73A72Ea7f4B90e2465Bc3D2B2c1989f5df321c66,13.0013,0.00042423,2023-06-26T15:36:08.996Z,b7f80fed-a2bb-4fb7-93fc-18da365166c8,pending,3
1777,0x73A72Ea7f4B90e2465Bc3D2B2c1989f5df321c66,0.010001,0.00034568,2023-06-26T15:36:24.649Z,b48b43ef-8e9d-47f7-846b-6677c03c1212,pending,4
1778,0x73A72Ea7f4B90e2465Bc3D2B2c1989f5df321c66,5.0005,0.0001794,2023-06-26T15:36:31.383Z,1abe405a-626a-4d2b-83f5-05b872649509,pending,5
1779,0x73A72Ea7f4B90e2465Bc3D2B2c1989f5df321c66,5.0005,0.0003728,2023-06-26T15:36:40.545Z,5138867b-0052-4f1c-836e-754b08d8fdc4,pending,6
1780,0x21F26a2d7d8516De4BF356E0854Db66ab5bEae0b,10.001,0.0007456,2023-06-26T16:23:04.407Z,ed91d773-1389-4679-96d8-72a906137825,pending,6
1781,0x21F26a2d7d8516De4BF356E0854Db66ab5bEae0b,10.001,0.0003588,2023-06-26T16:23:27.611Z,59951885-5fd3-4791-8058-d946d86d6390,pending,5
1782,0x21F26a2d7d8516De4BF356E0854Db66ab5bEae0b,0.020002,0.00069136,2023-06-26T16:23:43.093Z,5fecf85e-652d-4143-9c6c-503d59dbee03,pending,4
1783,0x21F26a2d7d8516De4BF356E0854Db66ab5bEae0b,26.0026,0.00084846,2023-06-26T16:23:59.132Z,515b8fae-e366-47b6-b6da-66a9dbfe9821,pending,3
1784,0x21F26a2d7d8516De4BF356E0854Db66ab5bEae0b,10.001045,0.00043514,2023-06-26T16:24:19.823Z,ef8a8c55-758d-4c68-b54f-041e3ddd7867,pending,2
1785,0xb6d5d1c74068AA9aA28c6a61362BdF164Cca13A4,60.006,0.0021528,2023-06-26T17:33:04.451Z,3b5ec827-17bf-4b9e-9ac2-3d364f926152,pending,5
1786,0xb6d5d1c74068AA9aA28c6a61362BdF164Cca13A4,60.006,0.0044736,2023-06-26T17:33:46.127Z,e86c7766-bcab-46f1-a221-71dc846f919a,pending,6
1787,0x1dB4040C23dB9620488b66a1bF8715Fe4C2eaA39,35.0035,0.0026096,2023-06-26T20:23:33.496Z,1262ce17-7b6a-4f57-af9a-84f89ca99b2a,pending,6
1788,0x1dB4040C23dB9620488b66a1bF8715Fe4C2eaA39,35.0035,0.0012558,2023-06-26T20:24:27.187Z,1ad6a409-6156-4768-90ba-fb57498cfc72,pending,5
1789,0x4d298158495b7Fc8ce63EBEDaC52B4f8EDc59EDE,13.0013,0.00042423,2023-06-26T20:40:57.949Z,15cfdadf-7517-4f31-8a21-32c6f4c7cf25,pending,3
1790,0x4d298158495b7Fc8ce63EBEDaC52B4f8EDc59EDE,10.001045,0.00043514,2023-06-26T20:47:42.798Z,f4ec560d-5bfb-4268-9bfd-4876cb4e319a,pending,2
1791,0x4d298158495b7Fc8ce63EBEDaC52B4f8EDc59EDE,0.010001,0.00034568,2023-06-26T20:48:08.418Z,2698ad98-b9c9-480a-8a2c-6d4708abef0c,pending,4
1792,0x4d298158495b7Fc8ce63EBEDaC52B4f8EDc59EDE,5.0005,0.0001794,2023-06-26T20:48:28.558Z,b85ab394-a37e-4747-8e6a-fcb97cff1357,pending,5
1793,0x4d298158495b7Fc8ce63EBEDaC52B4f8EDc59EDE,5.0005,0.0003728,2023-06-26T20:48:45.489Z,a9db846e-6629-4ce9-8ede-cff708c122ea,pending,6
1794,0xD4Ee2104aa4CeEb345d9358D60b402B3AB969bFc,10.001045,0.00043514,2023-06-26T23:13:34.356Z,cb68e73a-5840-4a48-b6c5-4d67cd8823ff,pending,2
1795,0xD4Ee2104aa4CeEb345d9358D60b402B3AB969bFc,13.0013,0.00042423,2023-06-26T23:33:09.313Z,f0bdf9b9-4bd6-48ab-83fa-148641fffe58,pending,3
1796,0xD4Ee2104aa4CeEb345d9358D60b402B3AB969bFc,0.010001,0.00034568,2023-06-26T23:34:08.314Z,1cb74815-4834-4351-acfc-e3ca282ea98a,pending,4
1797,0xD4Ee2104aa4CeEb345d9358D60b402B3AB969bFc,5.0005,0.0001794,2023-06-26T23:34:38.801Z,bbf88645-1eed-44e7-9b96-da789f96fbc1,pending,5
1798,0xD4Ee2104aa4CeEb345d9358D60b402B3AB969bFc,5.0005,0.0003728,2023-06-26T23:34:54.378Z,ed4ffdc6-3e6d-47e7-a256-48d9f25f4668,pending,6
1799,0x24edD2C8E0efbe6a712bDEDCc602c7a5f4567f61,10.001045,0.00043514,2023-06-27T00:03:48.180Z,80221d02-e50e-44cf-ad42-01d593600f29,pending,2
1800,0x644e5FBE2449d2AB5C6246630695C65Cb1c2aAC5,5.0005,0.0003728,2023-06-27T00:58:20.027Z,bfac2509-7821-4820-8484-697396a84b7f,pending,6
1801,0x24334d1CB4A07B39515C208F69B706e4Bab4d7c7,15.0015,0.0005382,2023-06-27T01:06:23.532Z,b4a9d471-6cbc-444c-95e0-718cef6502e7,pending,5
1802,0x24334d1CB4A07B39515C208F69B706e4Bab4d7c7,15.0015,0.0011184,2023-06-27T01:07:04.015Z,d3043714-e5c5-4149-8f64-2ac51046c4c8,pending,6
1803,0x6CfeCaD7599b4839221959190F4f5db9C24B62EB,20.00209,0.00087028,2023-06-27T01:44:16.093Z,3e5c33f1-ea01-4024-b45a-87e8eda507fa,pending,2
1804,0x6CfeCaD7599b4839221959190F4f5db9C24B62EB,26.0026,0.00084846,2023-06-27T01:45:44.263Z,479011ff-d58e-414c-9f7c-2e7fcf90e8cf,pending,3
1805,0x622e1F39dC2A4FAd9d652258d3eBAd06e55F980f,5.0005,0.0001794,2023-06-27T01:55:59.601Z,9fbdd1e7-ac0e-42cf-a704-525e1d85e306,pending,5
1806,0x622e1F39dC2A4FAd9d652258d3eBAd06e55F980f,5.0005,0.0003728,2023-06-27T01:56:20.510Z,1e51bf12-0dfc-4262-908d-531c1140601e,pending,6
1807,0xB2b0e1648f13DaBBf737b4120F3c2ad038A00e78,10.001,0.0007456,2023-06-27T04:02:05.586Z,fdd50d19-53dd-4bc0-ae88-36e148d3aabf,pending,6
1808,0xB2b0e1648f13DaBBf737b4120F3c2ad038A00e78,0.020002,0.00069136,2023-06-27T04:04:29.265Z,7f181e25-228a-4417-abab-2ec559a5cc2d,pending,4
1809,0x5C263af6460EB5Ecdb2707cA78aAf897041B9bc7,35.0035,0.0026096,2023-06-27T04:40:09.859Z,9fb28463-f4db-4879-8324-221233664bab,pending,6
1810,0x5C263af6460EB5Ecdb2707cA78aAf897041B9bc7,0.070007,0.00241976,2023-06-27T04:40:46.397Z,33a6cdd8-e202-450f-9834-0f4edce0f7de,pending,4
1811,0x5C263af6460EB5Ecdb2707cA78aAf897041B9bc7,35.0035,0.0012558,2023-06-27T04:41:43.507Z,caa4cbe1-1aa4-46cb-ba54-adaadea6bd80,pending,5
1812,0xA4Ff83D5e6Cb6d57227D43d8b3C0DbDA19D6293E,30.003135,0.00130542,2023-06-27T05:04:44.581Z,f3435637-ecf8-400e-b6d0-554eb3383fe7,pending,2
1813,0xA4Ff83D5e6Cb6d57227D43d8b3C0DbDA19D6293E,39.0039,0.00127269,2023-06-27T05:05:08.232Z,81f54f8e-1e06-4e02-b5d6-06cbd82e0594,pending,3
1814,0xA4Ff83D5e6Cb6d57227D43d8b3C0DbDA19D6293E,0.030003,0.00103704,2023-06-27T05:06:02.193Z,688af881-cf7b-4dbd-b627-26816d39c201,pending,4
1815,0xA4Ff83D5e6Cb6d57227D43d8b3C0DbDA19D6293E,15.0015,0.0005382,2023-06-27T05:06:45.757Z,12da1e89-74bd-4af9-b7cf-5f3b02a31dd1,pending,5
1816,0xA4Ff83D5e6Cb6d57227D43d8b3C0DbDA19D6293E,15.0015,0.0011184,2023-06-27T05:07:08.311Z,94b799c2-8164-46b8-b878-c1f13b7ab97f,pending,6
1817,0xe1F476C3d1CA210EF7AcfD66C59DE24c5034B192,110.011495,0.00478654,2023-06-27T09:44:44.439Z,60ea776c-9f61-443c-8c69-356fa7d8a37c,pending,2
1818,0xe1F476C3d1CA210EF7AcfD66C59DE24c5034B192,143.0143,0.00466653,2023-06-27T09:45:11.339Z,88c2dffc-7f6c-4059-b757-72d7fb507c21,pending,3
1819,0xe1F476C3d1CA210EF7AcfD66C59DE24c5034B192,0.110011,0.00380248,2023-06-27T09:45:31.889Z,f98fb63b-fc88-4d13-b0bb-a1dcef443a57,pending,4
1820,0xe1F476C3d1CA210EF7AcfD66C59DE24c5034B192,55.0055,0.0019734,2023-06-27T09:45:45.760Z,8b3ada10-3589-4dd4-9016-4532b5ebc2b3,pending,5
1821,0xe1F476C3d1CA210EF7AcfD66C59DE24c5034B192,55.0055,0.0041008,2023-06-27T09:45:52.468Z,1a03eea3-34ec-4a45-ad50-4e3aecd4388e,pending,6
1822,0xf25BeB50056a877Efc2d2406Dd19631fFbED119c,5.0005,0.0001794,2023-06-27T11:36:24.332Z,071d82e1-6387-4446-927c-c84f9b0b17ac,pending,5
1823,0xf25BeB50056a877Efc2d2406Dd19631fFbED119c,0.010001,0.00034568,2023-06-27T11:36:43.945Z,d58588cc-1a27-4c53-8d0e-23beefee3f14,pending,4
1824,0x84Cd8D787d90763D4264BA7a0275dBD3d2D7eb46,10.001,0.0003588,2023-06-27T12:57:03.662Z,dca9fe94-838a-48a4-8a98-ef8285bf7a3f,pending,5
1825,0x84Cd8D787d90763D4264BA7a0275dBD3d2D7eb46,0.020002,0.00069136,2023-06-27T12:57:31.018Z,1358c67f-1237-44e6-bf60-51a173b6b217,pending,4
1826,0x84Cd8D787d90763D4264BA7a0275dBD3d2D7eb46,26.0026,0.00084846,2023-06-27T12:58:00.988Z,8ad449ec-e9e4-45e8-a8a7-dc9c3e38c57f,pending,3
1827,0x88a1dc610aBF994e6895b6a63A4f4ecd6d41bB94,20.00209,0.00087028,2023-06-27T13:00:17.416Z,bf4d9f39-ffe4-4125-bd31-960c5bf9806e,pending,2
1828,0x88a1dc610aBF994e6895b6a63A4f4ecd6d41bB94,26.0026,0.00084846,2023-06-27T13:01:20.428Z,ef3bd2d7-70d5-4809-a8eb-c00fd75efedc,pending,3
1829,0x88a1dc610aBF994e6895b6a63A4f4ecd6d41bB94,0.020002,0.00069136,2023-06-27T13:01:31.213Z,78f46e74-ca9d-4272-ac4e-7bfbeb92f85a,pending,4
1830,0x88a1dc610aBF994e6895b6a63A4f4ecd6d41bB94,10.001,0.0003588,2023-06-27T13:01:43.270Z,bf2dfbb7-0d72-4562-86d1-ce72084ee663,pending,5
1831,0x88a1dc610aBF994e6895b6a63A4f4ecd6d41bB94,10.001,0.0007456,2023-06-27T13:01:54.427Z,9a92c820-c92e-4041-8a41-4e3e3329ed15,pending,6
1836,0x5f13585405690a5e11d10209C5c12639d36cA097,5.0005,0.0003728,2023-06-27T14:05:51.194Z,abd5ff4a-59ad-4a3d-b693-67123101641a,pending,6
1842,0x1Fb0a9713007cBD94F34AEb784F07F20De7570D7,5.0005,0.0003728,2023-06-27T16:03:36.580Z,87135816-870b-483b-8616-b1b87a86cb31,pending,6
1843,0x6CfeCaD7599b4839221959190F4f5db9C24B62EB,0.020002,0.00069136,2023-06-27T17:23:39.356Z,17e522e0-b937-4989-9d68-93676b024e95,pending,4
1844,0x6CfeCaD7599b4839221959190F4f5db9C24B62EB,10.001,0.0003588,2023-06-27T17:24:21.242Z,3790a4d8-52c1-41df-89a7-673f79ebcc47,pending,5
1845,0x6CfeCaD7599b4839221959190F4f5db9C24B62EB,10.001,0.0007456,2023-06-27T17:25:07.006Z,6bd83ec2-4ab3-40ad-b800-e9df3110640a,pending,6
1850,0xB09Da12E3B2Ef19228155De5350233423dBc44a1,35.0035,0.0026096,2023-06-27T21:56:16.407Z,9b42c0c6-1360-470d-a799-2363a49cc363,pending,6
1851,0xF478D08395EC773E41A78342bb5dAb4F013EF376,70.00699999999999,0.0052192,2023-06-27T22:52:41.160Z,c58fe499-9578-4444-b12b-0473a859b7bb,pending,6
1852,0x4b5D0E3cF191331f2901651105474CAE5C2965c9,25.0025,0.001864,2023-06-28T00:07:27.349Z,cdfafb72-f52e-45c7-878a-ce30c419a675,pending,6
1853,0x0A19C090eABA898d0130328d3eEDe6Fc8dC83Fa2,5.0005,0.0001794,2023-06-28T02:03:57.039Z,110de0a4-d3c4-41ef-ba89-1d15b208fa6b,pending,5
1854,0x0A19C090eABA898d0130328d3eEDe6Fc8dC83Fa2,5.0005,0.0003728,2023-06-28T02:05:02.621Z,89220e7c-ede9-4b38-806d-bf2d3924b65e,pending,6
1855,0x0A19C090eABA898d0130328d3eEDe6Fc8dC83Fa2,0.010001,0.00034568,2023-06-28T02:05:21.309Z,1eb94626-3886-4ca1-afa1-ec85ae998cef,pending,4
1856,0x0A19C090eABA898d0130328d3eEDe6Fc8dC83Fa2,13.0013,0.00042423,2023-06-28T02:05:27.271Z,90b12088-4fa9-41c9-ae9c-9b265be759e5,pending,3
